GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rewine Backend,com.rewine.backend,RewineBackendApp,5,3,0,0,2,1,1,1,1,1
Rewine Backend,com.rewine.backend.utils.logging.impl,LoggingUtilsImpl,75,3,4,0,13,1,5,1,3,1
Rewine Backend,com.rewine.backend.service.impl,ReviewServiceImpl,0,3,0,0,0,1,0,1,0,1
Rewine Backend,com.rewine.backend.service.impl,EventServiceImpl,0,3,0,0,0,1,0,1,0,1
Rewine Backend,com.rewine.backend.service.impl,WineQueryServiceImpl,0,3,0,0,0,1,0,1,0,1
Rewine Backend,com.rewine.backend.service.impl,AuthServiceImpl,0,3,0,0,0,1,0,1,0,1
Rewine Backend,com.rewine.backend.service.impl,WineRouteServiceImpl,0,3,0,0,0,1,0,1,0,1
Rewine Backend,com.rewine.backend.service.impl,WineCommandServiceImpl,0,3,0,0,0,1,0,1,0,1
Rewine Backend,com.rewine.backend.service.impl,UserServiceImpl,0,3,0,0,0,1,0,1,0,1
Rewine Backend,com.rewine.backend.utils.converter.impl,BaseConverterImpl,3,0,0,0,1,0,1,0,1,0
Rewine Backend,com.rewine.backend.handler.impl,WineHandlerImpl,0,3,0,0,0,1,0,1,0,1
Rewine Backend,com.rewine.backend.handler.impl,EventHandlerImpl,0,3,0,0,0,1,0,1,0,1
Rewine Backend,com.rewine.backend.handler.impl,AuthHandlerImpl,0,3,0,0,0,1,0,1,0,1
Rewine Backend,com.rewine.backend.utils.validation.impl,ValidationUtilsImpl,0,55,0,16,0,15,0,14,0,6
